
NOTICE: Existing SQLite export found: report2.sqlite
        It is assumed file was previously exported from: report2.nsys-rep
        Consider using --force-export=true if needed.

Processing [report2.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)      Max (ns)      StdDev (ns)    Style                  Range               
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  -------------  -------  -----------------------------------
     53.4   25,210,630,199         50  504,212,604.0  501,081,008.0  434,558,820    728,710,997   33,957,696.0  PushPop  :backward                          
     30.0   14,160,544,952         50  283,210,899.0  165,446,410.5  163,048,315  5,872,607,058  806,830,474.2  PushPop  :forward                           
     16.1    7,620,731,696      9,650      789,713.1       33,789.0        5,341    130,304,599    6,607,257.3  PushPop  CCCL:cub::DeviceRadixSort          
      0.2       91,378,338         50    1,827,566.8       13,070.0       11,873     90,715,523   12,827,199.4  PushPop  CCCL:cub::DeviceSelect::UniqueByKey
      0.1       69,359,142      5,400       12,844.3       12,203.0       10,219      3,131,939       42,468.2  PushPop  CCCL:cub::DeviceReduce::Sum        
      0.1       64,502,339      5,400       11,944.9       11,391.0       10,570         47,440        1,679.1  PushPop  CCCL:cub::DeviceSelect::Flagged    
      0.0        4,625,063         50       92,501.3       13,325.5       12,223      3,969,575      559,491.3  PushPop  CCCL:cub::DeviceScan::ExclusiveScan

Processing [report2.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls     Avg (ns)         Med (ns)       Min (ns)      Max (ns)       StdDev (ns)              Name         
      0.0        4,002,418         66         60,642.7         60,349.0      36,950          72,297           6,163.7  sleep                 
      0.0        3,712,995         29        128,034.3         13,395.0       6,282       1,587,205         296,798.9  pthread_join          
      0.0        3,256,926        312         10,438.9          1,678.5       1,032         103,215          16,594.7  fgets                 
      0.0        2,740,830        396          6,921.3          3,416.5       2,315         170,683          13,735.8  mmap                  
      0.0        2,089,767         35         59,707.6         42,781.0      16,030         384,628          63,326.7  pthread_create        
      0.0        1,791,682         14        127,977.3        124,761.5       1,563         273,447         115,358.7  pthread_rwlock_wrlock 
      0.0        1,406,537        292          4,816.9          3,852.5       1,263          22,613           3,156.3  fopen                 
      0.0        1,148,906        315          3,647.3          2,695.0       1,002          42,050           3,509.8  pthread_cond_signal   
      0.0        1,073,591        814          1,318.9          1,022.0       1,001          17,733             782.8  fclose                
      0.0          967,670         61         15,863.4         12,814.0       1,864          56,717          12,828.3  write                 
      0.0          643,079        102          6,304.7          4,649.0       1,803          22,272           3,880.6  fread                 
      0.0          517,830         50         10,356.6         12,038.0       1,834          26,671           5,327.0  fopen64               
      0.0          421,041         94          4,479.2          4,338.0       2,414          10,169           1,704.5  pipe2                 
      0.0          269,390          9         29,932.2         33,123.0       8,717          51,106          14,004.6  connect               
      0.0          222,137         47          4,726.3          3,957.0       1,813          14,357           2,974.0  open                  
      0.0          200,780         11         18,252.7         21,230.0       1,042          32,141           9,872.4  pthread_rwlock_rdlock 
      0.0          103,978         12          8,664.8          9,247.5       3,738          12,323           2,868.2  socket                
      0.0           28,695          5          5,739.0          4,890.0       3,737           9,177           2,364.1  pthread_cond_broadcast
      0.0           17,244          8          2,155.5          1,283.0       1,032           8,165           2,438.1  sigaction             
      0.0           16,570          8          2,071.3          1,538.0       1,122           6,151           1,683.0  fflush                
      0.0           13,425          6          2,237.5          2,204.0       1,203           3,256             685.3  fputs                 
      0.0           10,961          4          2,740.3          2,620.0       2,214           3,507             552.5  flock                 
      0.0            9,427          3          3,142.3          2,013.0       1,653           5,761           2,275.0  bind                  
      0.0            9,008          4          2,252.0          2,074.0       1,153           3,707           1,071.8  stat                  
      0.0            6,001          4          1,500.3          1,337.5       1,022           2,304             603.0  fcntl                 
      0.0            5,851          4          1,462.8          1,358.0       1,122           2,013             425.1  fwrite                
      0.0            5,760          4          1,440.0          1,473.0       1,292           1,522             104.3  dup2                  
      0.0            5,441          1          5,441.0          5,441.0       5,441           5,441               0.0  openat64              
      0.0            4,117          1          4,117.0          4,117.0       4,117           4,117               0.0  lstat                 
      0.0            3,948          1          3,948.0          3,948.0       3,948           3,948               0.0  statx                 
      0.0            3,597          2          1,798.5          1,798.5       1,273           2,324             743.2  pread                 
      0.0            3,507          1          3,507.0          3,507.0       3,507           3,507               0.0  mprotect              
      0.0            3,017          2          1,508.5          1,508.5       1,193           1,824             446.2  pthread_mutex_trylock 
      0.0            1,212          1          1,212.0          1,212.0       1,212           1,212               0.0  getentropy            

Processing [report2.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)    StdDev (ns)                Name               
 --------  ---------------  ---------  -----------  -----------  ---------  -----------  -----------  ---------------------------------
     46.2   15,097,509,667    213,366     70,758.7      3,978.0      2,595  117,861,724  1,348,498.9  cudaLaunchKernel                 
     27.4    8,948,903,262     10,835    825,925.5      4,238.0      1,874   96,504,051  5,408,295.3  cudaStreamSynchronize            
     10.8    3,538,103,624     93,896     37,681.1      4,549.0      2,946   53,241,531    932,569.5  cuLaunchKernel                   
     10.2    3,317,712,986     32,866    100,946.7      3,347.0      1,813   52,220,218  1,501,053.1  cudaMemsetAsync                  
      3.6    1,181,579,024     15,773     74,911.5      6,913.0      3,477   71,376,092  1,414,182.8  cudaMemcpyAsync                  
      0.6      209,925,914      1,461    143,686.5    129,856.0      3,406    9,535,662    252,703.2  cudaMalloc                       
      0.3      108,750,414        290    375,001.4     97,475.0      1,984   49,836,645  2,947,807.6  cudaFree                         
      0.3       94,537,813         72  1,313,025.2      3,777.0      3,366   30,204,039  5,522,295.7  cudaDeviceSynchronize            
      0.2       78,680,981         14  5,620,070.1  5,162,869.0     27,102   11,206,295  3,630,291.1  cuLibraryLoadData                
      0.1       41,716,290      7,200      5,793.9      5,571.0      4,870      113,845      2,017.0  cudaLaunchKernelExC_v11060       
      0.1       27,752,239     45,132        614.9        391.0        250    4,018,969     20,705.5  cuKernelGetFunction              
      0.0        4,711,880          2  2,355,940.0  2,355,940.0  2,346,031    2,365,849     14,013.4  cudaGetDeviceProperties_v2_v12000
      0.0        3,650,580         64     57,040.3     47,720.5     39,725      137,801     20,838.5  cuModuleLoad                     
      0.0        2,112,159      2,479        852.0        791.0        250       14,227        580.4  cudaStreamIsCapturing_v10000     
      0.0        1,282,167          3    427,389.0     15,890.0     13,906    1,252,371    714,456.1  cudaHostAlloc                    
      0.0          967,952        224      4,321.2      4,258.0      3,516       13,916      1,020.5  cudaEventRecordWithFlags_v11010  
      0.0          357,526        260      1,375.1        862.0        220        9,338      1,717.9  cudaEventCreateWithFlags         
      0.0          131,284        838        156.7        120.0         60          801        103.9  cuGetProcAddress_v2              
      0.0           98,104         43      2,281.5      1,222.0        361        7,153      2,048.0  cuLibraryGetKernel               
      0.0           87,690        224        391.5        355.5        290        1,443        129.5  cudaEventQuery                   
      0.0           72,925        224        325.6        281.0        260        4,669        305.2  cudaEventDestroy                 
      0.0            4,649          4      1,162.3        876.5        762        2,134        653.0  cuInit                           
      0.0            2,826          4        706.5        666.5        191        1,302        598.8  cuModuleGetLoadingMode           
      0.0              781          2        390.5        390.5        210          571        255.3  cudaGetDriverEntryPoint_v11030   

Processing [report2.sqlite] with [/usr/local/cuda-12.8/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)                                                   Name                                                
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  ------------  ----------------------------------------------------------------------------------------------------
     35.3   12,827,547,526        600  21,379,245.9  21,404,260.5  18,581,522  21,901,348     324,941.6  fmha_cutlassB_bf16_aligned_64x64_k64_seqaligned_sm80(PyTorchMemEffAttention::AttentionBackwardKerne…
     11.0    4,017,824,396        600   6,696,374.0   6,698,082.0   6,582,856   6,972,085      57,218.5  fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::bfloat16_…
      7.2    2,626,675,819      5,277     497,759.3      75,456.0      40,768  44,319,116   4,175,592.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      7.1    2,566,040,823         50  51,320,816.5  51,428,186.5  45,562,007  53,928,064   1,386,411.1  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Para…
      6.5    2,381,024,893      1,852   1,285,650.6      21,824.0      15,777  48,398,893   7,588,765.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_nt_align8>(T1::Para…
      3.6    1,320,359,616        100  13,203,596.2  13,168,897.0       1,024  26,490,628  13,269,068.6  triton_poi_fused__to_copy_0                                                                         
      3.5    1,265,397,336         50  25,307,946.7  25,281,218.0  25,087,036  25,526,145     109,091.5  triton_red_fused__log_softmax_backward_data__to_copy_add_nll_loss_backward_nll_loss_forward_0       
      1.6      566,718,411      5,846      96,941.2      95,616.0      42,240     227,234      36,006.4  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Par…
      1.5      543,429,259      2,400     226,428.9     224,578.0     191,042     454,148       9,455.8  sm89_xmma_gemm_e4m3e5m2bf16_e4m3e5m2f32_f32_tn_n_tilesize128x64x64_stage4_warpsize2x2x1_tensor16x8x…
      1.4      521,329,069     11,359      45,895.7       1,152.0         800     954,760     172,841.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std:…
      1.3      473,259,453     11,352      41,689.5       4,096.0       1,024     113,313      46,146.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …
      1.2      424,093,779      2,400     176,705.7     180,641.5     155,681     191,874       9,312.7  sm89_xmma_gemm_e4m3e5m2bf16_e4m3e5m2f32_f32_tn_n_tilesize64x128x64_stage4_warpsize2x2x1_tensor16x8x…
      1.2      422,103,332      2,400     175,876.4     174,321.0     153,185     204,801      13,754.2  sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize64x128x64_stage4_warpsize2x2x1_tensor16x8x32_execu…
      1.1      398,386,143         50   7,967,722.9   7,975,789.0   7,592,687   8,284,799     179,888.6  triton_red_fused__log_softmax_0                                                                     
      0.9      319,625,942      4,045      79,017.5      69,697.0      24,064     194,401      32,858.6  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align8>(T1::Para…
      0.8      308,676,613      4,118      74,957.9      67,168.5      19,232     152,289      30,544.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Para…
      0.8      306,012,508      1,890     161,911.4     160,049.0     131,009     209,730      16,314.5  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_nt_align8>(T1::Par…
      0.8      278,076,962        714     389,463.5     390,211.0     368,738     401,699       5,292.6  triton_red_fused__scaled_mm__to_copy_add_clamp_clone_div_mul_pow_reciprocal_sum_18                  
      0.7      264,313,702        600     440,522.8     440,755.5     422,595     449,027       3,418.2  triton_per_fused__to_copy_abs_add_clone_div_max_mul_neg_pow_slice_backward_sum_16                   
      0.7      261,554,189      4,758      54,971.5      30,753.0       1,664     245,858      58,161.8  void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (b…
      0.7      245,599,120      4,476      54,870.2      52,481.0      24,737      97,568      18,613.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_nt_align8>(T1::Par…
      0.6      203,454,017        600     339,090.0     339,075.0     332,514     343,842       2,180.5  triton_poi_fused_scalar_tensor_where_7                                                              
      0.5      198,935,813      9,600      20,722.5      12,480.5       1,760     113,600      22,289.0  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.5      188,891,704      9,606      19,663.9      10,624.0       1,344      91,777      20,091.1  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.5      182,782,874      1,800     101,546.0     104,769.0      86,720     115,617      10,050.0  triton_poi_fused__scaled_mm__to_copy_clamp_mul_reciprocal_11                                        
      0.4      150,711,236      1,200     125,592.7     124,928.5     108,929     148,513       6,974.8  triton_red_fused__to_copy_mul_sum_19                                                                
      0.4      140,913,534     16,970       8,303.7       8,096.0       5,536      12,449       1,302.2  void at_cuda_detail::cub::DeviceRadixSortOnesweepKernel<at_cuda_detail::cub::detail::radix::policy_…
      0.4      134,587,211        600     224,312.0     225,154.0     203,970     232,162       4,541.0  triton_per_fused__to_copy_add_cat_mean_mul_pow_rsqrt_6                                              
      0.4      129,227,347      1,800      71,793.0      69,953.0      59,520      82,272       4,021.1  triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul_reciprocal_15                                  
      0.3      119,476,697        600     199,127.8     199,361.0     184,161     209,090       3,599.4  triton_red_fused__to_copy_add_mul_sum_21                                                            
      0.3      114,322,222      4,800      23,817.1      12,016.5       1,344     110,081      25,791.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10…
      0.3      108,323,436      1,200      90,269.5      90,529.0      77,216     100,320       5,776.0  triton_poi_fused__scaled_mm__to_copy_clamp_mul_reciprocal_4                                         
      0.3      106,571,371      1,050     101,496.5     108,017.0      27,232     118,496      18,123.1  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      0.3      103,632,726      2,000      51,816.4      53,537.0      28,032      60,833       6,748.0  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.3       98,493,445        600     164,155.7     164,209.0     155,553     172,930       3,042.2  triton_per_fused__to_copy_abs_add_div_max_mul_pow_sum_2                                             
      0.3       91,749,987        600     152,916.6     152,929.0     146,977     157,826       1,357.3  triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_11                                                 
      0.2       90,410,227      4,800      18,835.5       9,664.0       1,152      89,537      19,677.3  triton_poi_fused_add_fill_mul_sigmoid_silu_sub_0                                                    
      0.2       86,031,927      4,800      17,923.3       9,824.0       1,536      88,160      18,957.5  void <unnamed>::indexing_backward_kernel<c10::BFloat16, (int)4>(const long *, const long *, const T…
      0.2       85,942,099      1,926      44,622.1      44,368.0      21,792      77,536      12,439.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_nt_align8>(T1::Para…
      0.2       83,109,348      1,200      69,257.8      67,408.5      61,248      79,776       6,925.1  triton_red_fused_abs_max_6                                                                          
      0.2       79,311,969      1,050      75,535.2      79,952.5      22,240      87,713      12,926.1  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.2       78,897,826      1,000      78,897.8      80,704.0      37,568      89,536       9,082.6  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.2       64,656,322        600     107,760.5     109,120.5      94,753     115,201       4,563.0  triton_poi_fused_add_0                                                                              
      0.2       61,797,156      1,200      51,497.6      51,344.5      40,544      55,841       2,710.0  triton_red_fused__to_copy_abs_clamp_max_mul_reciprocal_17                                           
      0.2       55,738,269      4,800      11,612.1       4,353.0       2,048      56,065      13,560.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::fu…
      0.2       55,057,174      1,000      55,057.2      55,888.5      31,009      62,465       5,803.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1       53,233,478      1,000      53,233.5      53,984.0      31,520      63,232       5,435.6  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      0.1       52,191,039      1,000      52,191.0      53,248.0      28,448      60,353       5,752.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1       51,876,280        600      86,460.5      86,464.0      85,408      87,777         460.4  triton_poi_fused__scaled_mm__to_copy_clamp_mul_reciprocal_10                                        
      0.1       49,488,943        600      82,481.6      82,496.5      78,369      87,425       1,229.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<unsigned char>, std:…
      0.1       48,756,184      8,924       5,463.5       5,536.0       3,136       7,680         705.7  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.1       48,264,119        600      80,440.2      80,673.0      72,992      92,192       3,763.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_nt_align8>(T1::Par…
      0.1       46,073,661        600      76,789.4      76,001.0      72,833      85,377       2,395.4  triton_red_fused_abs_max_13                                                                         
      0.1       45,294,770      4,800       9,436.4       5,152.0         928      45,345      10,485.3  triton_poi_fused_mul_silu_0                                                                         
      0.1       45,281,562        650      69,663.9      67,712.0      64,641     100,289       7,049.1  triton_red_fused__to_copy_mul_sum_0                                                                 
      0.1       44,631,909        600      74,386.5      74,337.0      70,049      80,608       1,452.2  triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul_reciprocal_9                                   
      0.1       38,515,517      3,252      11,843.6       9,696.0       2,112      33,152       7,679.3  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align8>(T1::Para…
      0.1       38,237,298        600      63,728.8      63,904.0      55,008      66,305       1,301.8  triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul_reciprocal_8                                   
      0.1       34,499,992        600      57,500.0      57,505.0      55,648      59,809         505.9  triton_red_fused_abs_max_8                                                                          
      0.1       33,393,936        600      55,656.6      54,209.0      52,001      70,145       4,267.9  triton_per_fused__to_copy_abs_add_max_mean_mul_pow_rsqrt_0                                          
      0.1       29,032,995        600      48,388.3      48,576.0      43,136      50,912       1,274.7  void at::native::sbtopk::gatherTopK<float, unsigned int, (int)2, (bool)0>(at::cuda::detail::TensorI…
      0.1       28,727,567      4,802       5,982.4       5,952.0       1,632       9,152       1,808.2  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1       24,162,467      9,456       2,555.3       2,528.0       1,312       7,264         510.4  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
      0.1       23,293,234        314      74,182.3      79,216.5      60,736      84,448       8,249.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.1       21,911,776     14,400       1,521.7       1,472.0       1,024       2,912         254.9  void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
      0.1       21,370,120      4,800       4,452.1       4,448.0       3,264       5,824         589.2  void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::select::policy_hub<l…
      0.1       20,735,804      4,800       4,320.0       4,448.0       3,104       7,136         952.1  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1       20,524,763      2,972       6,906.0       6,752.0       5,984       8,705         515.0  void at_cuda_detail::cub::DeviceRadixSortSingleTileKernel<at_cuda_detail::cub::detail::radix::polic…
      0.1       20,196,838      9,600       2,103.8       2,112.0       1,248       3,616         319.3  void at::native::vectorized_elementwise_kernel<(int)2, at::native::BUnaryFunctor<long, long, long, …
      0.1       20,183,790        879      22,962.2      27,904.0       7,552      31,328       8,143.2  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align8>(T1::Para…
      0.0       17,650,019      6,678       2,643.0       2,592.0       2,208       4,256         208.8  void at_cuda_detail::cub::DeviceRadixSortHistogramKernel<at_cuda_detail::cub::detail::radix::policy…
      0.0       17,542,815        901      19,470.4      19,136.0      13,984      30,496       3,410.7  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nt_align8>(T1::Para…
      0.0       17,525,004      4,800       3,651.0       2,720.0       1,888       9,600       1,765.2  void <unnamed>::indexing_backward_kernel_stride_1<c10::BFloat16>(const long *, const long *, const …
      0.0       15,075,252      1,808       8,338.1       7,952.5       5,312      14,016       1,619.7  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_nn_align8>(T1::Par…
      0.0       14,662,897        850      17,250.5      17,216.0      14,688      20,896       1,050.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_nn_align8>(T1::Para…
      0.0       14,457,675        600      24,096.1      24,064.0      22,048      26,624         891.7  triton_poi_fused_zeros_5                                                                            
      0.0       14,151,036        600      23,585.1      23,616.0      22,080      24,321         223.8  void at::native::bitonicSortKVInPlace<(int)2, (int)-1, (int)16, (int)16, float, long, at::native::G…
      0.0       13,175,121      1,865       7,064.4       6,880.0       4,416      10,048       1,441.7  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      0.0       12,535,348      3,000       4,178.4       4,128.0       3,040       6,464         655.0  triton_poi_fused__scaled_mm__to_copy_clamp_mul_reciprocal_5                                         
      0.0       11,239,569      4,944       2,273.4       2,208.0       1,152       6,624         593.8  void at::native::unrolled_elementwise_kernel<at::native::BUnaryFunctor<long, long, long, at::native…
      0.0       11,217,870      4,800       2,337.1       2,368.0       2,080       2,528          83.8  void at::native::<unnamed>::write_indices<long>(long *, at::native::<unnamed>::TensorDims<T1>, int,…
      0.0       10,665,892      1,200       8,888.2       8,896.0       7,072       9,504         220.9  triton_red_fused__to_copy_mul_sum_20                                                                
      0.0       10,248,431         50     204,968.6     204,802.0     203,905     206,561         644.3  void at::native::<unnamed>::compute_grad_weight<c10::BFloat16, long>(const T2 *, const T1 *, const …
      0.0        9,555,924      1,800       5,308.8       5,472.0       4,320       6,656         524.1  triton_poi_fused__scaled_mm__to_copy_clamp_mul_reciprocal_12                                        
      0.0        9,028,998      9,700         930.8         928.0         768       1,632          82.6  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0        8,441,334        893       9,452.8       8,800.0       6,752      14,880       1,888.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_nn_align8>(T1::Par…
      0.0        8,436,988        652      12,940.2      12,544.0       8,960      22,816       2,849.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_nn_align8>(T1::Para…
      0.0        8,424,177      6,678       1,261.5       1,248.0       1,088       1,504          77.1  void at_cuda_detail::cub::DeviceRadixSortExclusiveSumKernel<at_cuda_detail::cub::detail::radix::pol…
      0.0        8,273,305      2,400       3,447.2       3,424.0       2,656       5,120         614.8  triton_red_fused_abs_max_2                                                                          
      0.0        8,134,909        852       9,548.0       9,216.0       7,744      11,648       1,157.9  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Par…
      0.0        8,068,926        696      11,593.3      11,792.0       7,072      15,488       2,188.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_tn_align8>(T1::Para…
      0.0        7,899,059      4,800       1,645.6       1,632.0       1,568       2,241          31.3  void at_cuda_detail::cub::DeviceReduceKernel<at_cuda_detail::cub::detail::reduce::policy_hub<int, u…
